customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_time,source
1,Debra,Burks,not recorded,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,2024-04-28 19:23:08.863341,datalake
2,Kasha,Todd,not recorded,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,2024-04-28 19:23:08.863341,datalake
3,Tameka,Fisher,not recorded,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,2024-04-28 19:23:08.863341,datalake
4,Daryl,Spence,not recorded,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,2024-04-28 19:23:08.863341,datalake
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,2024-04-28 19:23:08.863341,datalake
6,Lyndsey,Bean,not recorded,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,2024-04-28 19:23:08.863341,datalake
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,2024-04-28 19:23:08.863341,datalake
8,Jacquline,Duncan,not recorded,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,2024-04-28 19:23:08.863341,datalake
9,Genoveva,Baldwin,not recorded,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,2024-04-28 19:23:08.863341,datalake
10,Pamelia,Newman,not recorded,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,2024-04-28 19:23:08.863341,datalake
11,Deshawn,Mendoza,not recorded,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,2024-04-28 19:23:08.863341,datalake
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,2024-04-28 19:23:08.863341,datalake
13,Lashawn,Ortiz,not recorded,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,2024-04-28 19:23:08.863341,datalake
14,Garry,Espinoza,not recorded,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,2024-04-28 19:23:08.863341,datalake
15,Linnie,Branch,not recorded,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,2024-04-28 19:23:08.863341,datalake
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,2024-04-28 19:23:08.863341,datalake
