customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_time,source,local
1,Debra,Burks,not recorded,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,2024-04-28 19:23:08.863341,datalake,False
2,Kasha,Todd,not recorded,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,2024-04-28 19:23:08.863341,datalake,False
3,Tameka,Fisher,not recorded,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,2024-04-28 19:23:08.863341,datalake,False
4,Daryl,Spence,not recorded,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,2024-04-28 19:23:08.863341,datalake,False
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,2024-04-28 19:23:08.863341,datalake,False
6,Lyndsey,Bean,not recorded,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,2024-04-28 19:23:08.863341,datalake,False
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,2024-04-28 19:23:08.863341,datalake,False
8,Jacquline,Duncan,not recorded,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,2024-04-28 19:23:08.863341,datalake,False
9,Genoveva,Baldwin,not recorded,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,2024-04-28 19:23:08.863341,datalake,False
10,Pamelia,Newman,not recorded,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,2024-04-28 19:23:08.863341,datalake,False
11,Deshawn,Mendoza,not recorded,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,2024-04-28 19:23:08.863341,datalake,False
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,2024-04-28 19:23:08.863341,datalake,False
13,Lashawn,Ortiz,not recorded,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,2024-04-28 19:23:08.863341,datalake,False
14,Garry,Espinoza,not recorded,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,2024-04-28 19:23:08.863341,datalake,False
15,Linnie,Branch,not recorded,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,2024-04-28 19:23:08.863341,datalake,False
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,2024-04-28 19:23:08.863341,datalake,False
17,Caren,Stephens,not recorded,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,2024-04-28 19:23:08.863341,datalake,False
18,Georgetta,Hardin,not recorded,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,2024-04-28 19:23:08.863341,datalake,False
19,Lizzette,Stein,not recorded,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,2024-04-28 19:23:08.863341,datalake,False
20,Aleta,Shepard,not recorded,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,2024-04-28 19:23:08.863341,datalake,False
21,Tobie,Little,not recorded,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,2024-04-28 19:23:08.863341,datalake,False
22,Adelle,Larsen,not recorded,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731,2024-04-28 19:23:08.863341,datalake,False
23,Kaylee,English,not recorded,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423,2024-04-28 19:23:08.863341,datalake,False
24,Corene,Wall,not recorded,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301,2024-04-28 19:23:08.863341,datalake,False
25,Regenia,Vaughan,not recorded,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541,2024-04-28 19:23:08.863341,datalake,False
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561,2024-04-28 19:23:08.863341,datalake,False
27,Santos,Valencia,not recorded,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104,2024-04-28 19:23:08.863341,datalake,False
28,Jeanice,Frost,not recorded,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562,2024-04-28 19:23:08.863341,datalake,False
29,Syreeta,Hendricks,not recorded,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541,2024-04-28 19:23:08.863341,datalake,False
30,Jamaal,Albert,not recorded,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505,2024-04-28 19:23:08.863341,datalake,False
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603,2024-04-28 19:23:08.863341,datalake,False
32,Araceli,Golden,not recorded,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831,2024-04-28 19:23:08.863341,datalake,False
33,Deloris,Burke,not recorded,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274,2024-04-28 19:23:08.863341,datalake,False
34,Brittney,Woodward,not recorded,brittney.woodward@aol.com,960 River St. ,East Northport,NY,11731,2024-04-28 19:23:08.863341,datalake,False
35,Guillermina,Noble,not recorded,guillermina.noble@msn.com,6 Del Monte Lane ,Baldwinsville,NY,13027,2024-04-28 19:23:08.863341,datalake,False
36,Bernita,Mcdaniel,not recorded,bernita.mcdaniel@hotmail.com,2 Peg Shop Ave. ,Liverpool,NY,13090,2024-04-28 19:23:08.863341,datalake,False
